model,metric,n_seeds,mean,std,min,max,ci_lo,ci_hi,seeds_used,values
NN (OneHot),iso_aff_pval,5,3.06242319613633e-38,4.856147649916615e-38,2.2217979758554758e-39,1.1684408029163118e-37,2.5008339494793794e-39,1.0690963026743706e-37,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (OneHot),iso_aff_rho,5,0.8633051563517501,0.003568248287218761,0.8578561154670367,0.8673085864266967,0.8583178230054473,0.8671202099737534,"42,123,456,789,2024",0.863463;0.865425;0.857856;0.867309;0.862473
NN (OneHot),iso_spec_pval,5,5.082260670833832e-19,8.743079176519776e-19,9.210040965756245e-20,2.0718100494032148e-18,9.314246905046189e-20,1.8785422855619535e-18,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
NN (OneHot),iso_spec_rho,5,0.6939449428483533,0.007945310956625483,0.6798551776903002,0.698800351650849,0.6815068552718514,0.6987374893391574,"42,123,456,789,2024",0.696372;0.698172;0.679855;0.698800;0.696526
NN (esm2),affinity_auc_mean,5,0.9524127798792368,0.002803002782038496,0.9479399704443636,0.9548833584905101,0.9483248995262429,0.9548536537723599,"42,123,456,789,2024",0.952865;0.954586;0.954883;0.951789;0.947940
NN (esm2),affinity_cv_mean,5,0.8908000000000001,0.005627499444691357,0.8829999999999998,0.8960000000000001,0.8833749999999998,0.8958500000000001,"42,123,456,789,2024",0.894500;0.896000;0.893750;0.886750;0.883000
NN (esm2),affinity_mcc_mean,5,0.7701364967610818,0.010713812281060478,0.7553351902933014,0.7815075297791423,0.7560937123171526,0.7810032343027821,"42,123,456,789,2024",0.776465;0.781508;0.774455;0.762920;0.755335
NN (esm2),specificity_auc_mean,5,0.960223125,0.0010822970003076685,0.95870375,0.9614312499999998,0.958810125,0.9613943749999999,"42,123,456,789,2024",0.961063;0.960151;0.961431;0.959767;0.958704
NN (esm2),specificity_cv_mean,5,0.9012499999999999,0.0037416573867739577,0.8959999999999999,0.905,0.8962749999999999,0.90485,"42,123,456,789,2024",0.905000;0.903000;0.898750;0.903500;0.896000
NN (esm2),specificity_mcc_mean,5,0.8037406737612682,0.0070629055965500745,0.7935917983124622,0.8110394353363407,0.7941825214372764,0.8106895327714416,"42,123,456,789,2024",0.811039;0.807033;0.799499;0.807540;0.793592
NN (fusion_esm2),affinity_auc_mean,5,0.9767126884217383,0.0005950298492483472,0.9759815734872035,0.9775739325773204,0.9760204325623427,0.9774991095144552,"42,123,456,789,2024",0.976826;0.977574;0.976370;0.975982;0.976812
NN (fusion_esm2),affinity_cv_mean,5,0.9350999999999999,0.0012067518386146738,0.9335000000000001,0.93675,0.9336000000000001,0.9366249999999999,"42,123,456,789,2024",0.935500;0.936750;0.934500;0.933500;0.935250
NN (fusion_esm2),affinity_mcc_mean,5,0.863278290407197,0.0023246503498627912,0.8599001478153886,0.8662602802819117,0.8601675363988049,0.8660495407822068,"42,123,456,789,2024",0.863504;0.866260;0.862574;0.859900;0.864153
NN (fusion_esm2),specificity_auc_mean,5,0.9773668750000001,0.00020942536707622096,0.977129375,0.9776325000000001,0.9771420625,0.9776228750000001,"42,123,456,789,2024",0.977536;0.977129;0.977633;0.977256;0.977280
NN (fusion_esm2),specificity_cv_mean,5,0.92845,0.002928310092869274,0.924,0.9315000000000001,0.92435,0.9314000000000001,"42,123,456,789,2024",0.924000;0.928750;0.927500;0.931500;0.930500
NN (fusion_esm2),specificity_mcc_mean,5,0.8574955614627235,0.005643651953635946,0.8490802115043051,0.8632956323510879,0.8497225911887122,0.8631504975179224,"42,123,456,789,2024",0.849080;0.857754;0.855504;0.863296;0.861844
NN (onehot),affinity_auc_mean,5,0.9762778885539447,0.00048693371129307587,0.9755901575669268,0.9768178229924634,0.9756411501756966,0.976802390993799,"42,123,456,789,2024",0.976100;0.976218;0.975590;0.976818;0.976664
